index,syllable,unicode,codepoint,x,y,status
697,옅,U+C605,50693,72,688,used
698,옆,U+C606,50694,80,688,used
699,예,U+C608,50696,88,688,used
700,옛,U+C61B,50715,96,688,used
701,오,U+C624,50724,104,688,used
702,옥,U+C625,50725,112,688,used
703,온,U+C628,50728,120,688,used
704,올,U+C62C,50732,0,704,used
705,옮,U+C62E,50734,8,704,used
706,옷,U+C637,50743,16,704,used
707,와,U+C640,50752,24,704,used
708,왁,U+C641,50753,32,704,used
709,완,U+C644,50756,40,704,used
710,왓,U+C653,50771,48,704,used
711,왔,U+C654,50772,56,704,used
712,왕,U+C655,50773,64,704,used
713,왜,U+C65C,50780,72,704,used
714,왠,U+C660,50784,80,704,used
715,외,U+C678,50808,88,704,used
716,왼,U+C67C,50812,96,704,used
717,요,U+C694,50836,104,704,used
718,욕,U+C695,50837,112,704,used
719,용,U+C6A9,50857,120,704,used
720,우,U+C6B0,50864,0,720,used
721,욱,U+C6B1,50865,8,720,used
722,운,U+C6B4,50868,16,720,used
723,울,U+C6B8,50872,24,720,used
724,움,U+C6C0,50880,32,720,used
725,웃,U+C6C3,50883,40,720,used
726,웅,U+C6C5,50885,48,720,used
727,워,U+C6CC,50892,56,720,used
728,원,U+C6D0,50896,64,720,used
729,월,U+C6D4,50900,72,720,used
730,웠,U+C6E0,50912,80,720,used
731,웨,U+C6E8,50920,88,720,used
732,웬,U+C6EC,50924,96,720,used
733,웰,U+C6F0,50928,104,720,used
734,웸,U+C6F8,50936,112,720,used
735,위,U+C704,50948,120,720,used
736,유,U+C720,50976,0,736,used
737,육,U+C721,50977,8,736,used
738,율,U+C728,50984,16,736,used
739,으,U+C73C,51004,24,736,used
740,윽,U+C73D,51005,32,736,used
741,은,U+C740,51008,40,736,used
742,을,U+C744,51012,48,736,used
743,읊,U+C74A,51018,56,736,used
744,음,U+C74C,51020,64,736,used
745,응,U+C751,51025,72,736,used
746,의,U+C758,51032,80,736,used
747,이,U+C774,51060,88,736,used
748,익,U+C775,51061,96,736,used
749,인,U+C778,51064,104,736,used
750,일,U+C77C,51068,112,736,used
751,읽,U+C77D,51069,120,736,used
752,잃,U+C783,51075,0,752,used
753,임,U+C784,51076,8,752,used
754,입,U+C785,51077,16,752,used
755,잇,U+C787,51079,24,752,used
756,있,U+C788,51080,32,752,used
757,잉,U+C789,51081,40,752,used
758,잊,U+C78A,51082,48,752,used
759,자,U+C790,51088,56,752,used
760,작,U+C791,51089,64,752,used
761,잔,U+C794,51092,72,752,used
762,잖,U+C796,51094,80,752,used
763,잘,U+C798,51096,88,752,used
764,잠,U+C7A0,51104,96,752,used
765,잡,U+C7A1,51105,104,752,used
766,잣,U+C7A3,51107,112,752,used
767,잤,U+C7A4,51108,120,752,used
768,장,U+C7A5,51109,0,768,used
769,재,U+C7AC,51116,8,768,used
770,잭,U+C7AD,51117,16,768,used
771,쟁,U+C7C1,51137,24,768,used
772,저,U+C800,51200,32,768,used
773,적,U+C801,51201,40,768,used
774,전,U+C804,51204,48,768,used
775,절,U+C808,51208,56,768,used
776,젊,U+C80A,51210,64,768,used
777,점,U+C810,51216,72,768,used
778,접,U+C811,51217,80,768,used
779,정,U+C815,51221,88,768,used
780,젖,U+C816,51222,96,768,used
781,제,U+C81C,51228,104,768,used
782,젠,U+C820,51232,112,768,used
783,젤,U+C824,51236,120,768,used
784,젬,U+C82C,51244,0,784,used
785,젯,U+C82F,51247,8,784,used
786,져,U+C838,51256,16,784,used
787,졌,U+C84C,51276,24,784,used
788,조,U+C870,51312,32,784,used
789,족,U+C871,51313,40,784,used
790,존,U+C874,51316,48,784,used
791,졸,U+C878,51320,56,784,used
792,좀,U+C880,51328,64,784,used
793,좁,U+C881,51329,72,784,used
794,종,U+C885,51333,80,784,used
795,좋,U+C88B,51339,88,784,used
796,좌,U+C88C,51340,96,784,used
797,죄,U+C8C4,51396,104,784,used
798,죠,U+C8E0,51424,112,784,used
799,주,U+C8FC,51452,120,784,used
800,죽,U+C8FD,51453,0,800,used
801,준,U+C900,51456,8,800,used
802,줄,U+C904,51460,16,800,used
803,중,U+C911,51473,24,800,used
804,줘,U+C918,51480,32,800,used
805,줬,U+C92C,51500,40,800,used
806,쥐,U+C950,51536,48,800,used
807,쥔,U+C954,51540,56,800,used
808,즈,U+C988,51592,64,800,used
809,즐,U+C990,51600,72,800,used
810,즘,U+C998,51608,80,800,used
811,증,U+C99D,51613,88,800,used
812,지,U+C9C0,51648,96,800,used
813,직,U+C9C1,51649,104,800,used
814,진,U+C9C4,51652,112,800,used
815,질,U+C9C8,51656,120,800,used
816,짊,U+C9CA,51658,0,816,used
817,짐,U+C9D0,51664,8,816,used
818,집,U+C9D1,51665,16,816,used
819,짓,U+C9D3,51667,24,816,used
820,징,U+C9D5,51669,32,816,used
821,짖,U+C9D6,51670,40,816,used
822,짙,U+C9D9,51673,48,816,used
823,짚,U+C9DA,51674,56,816,used
824,짜,U+C9DC,51676,64,816,used
825,짝,U+C9DD,51677,72,816,used
826,짠,U+C9E0,51680,80,816,used
827,짧,U+C9E7,51687,88,816,used
828,째,U+C9F8,51704,96,816,used
829,쨌,U+CA0C,51724,104,816,used
830,쨍,U+CA0D,51725,112,816,used
831,쩌,U+CA4C,51788,120,816,used
832,쩍,U+CA4D,51789,0,832,used
833,쩐,U+CA50,51792,8,832,used
834,쩔,U+CA54,51796,16,832,used
835,쩡,U+CA61,51809,24,832,used
836,쪽,U+CABD,51901,32,832,used
837,쫄,U+CAC4,51908,40,832,used
838,쫓,U+CAD3,51923,48,832,used
839,쭉,U+CB49,52041,56,832,used
840,쭐,U+CB50,52048,64,832,used
841,쭤,U+CB64,52068,72,832,used
842,쯤,U+CBE4,52196,80,832,used
843,찌,U+CC0C,52236,88,832,used
844,찍,U+CC0D,52237,96,832,used
845,찔,U+CC14,52244,104,832,used
846,찜,U+CC1C,52252,112,832,used
847,찢,U+CC22,52258,120,832,used
848,차,U+CC28,52264,0,848,used
849,착,U+CC29,52265,8,848,used
850,찬,U+CC2C,52268,16,848,used
851,찮,U+CC2E,52270,24,848,used
852,찰,U+CC30,52272,32,848,used
853,참,U+CC38,52280,40,848,used
854,찻,U+CC3B,52283,48,848,used
855,찼,U+CC3C,52284,56,848,used
856,창,U+CC3D,52285,64,848,used
857,찾,U+CC3E,52286,72,848,used
858,채,U+CC44,52292,80,848,used
859,책,U+CC45,52293,88,848,used
860,챈,U+CC48,52296,96,848,used
861,챙,U+CC59,52313,104,848,used
862,처,U+CC98,52376,112,848,used
863,척,U+CC99,52377,120,848,used
864,천,U+CC9C,52380,0,864,used
865,철,U+CCA0,52384,8,864,used
866,첨,U+CCA8,52392,16,864,used
867,첩,U+CCA9,52393,24,864,used
868,첫,U+CCAB,52395,32,864,used
869,청,U+CCAD,52397,40,864,used
870,체,U+CCB4,52404,48,864,used
871,쳐,U+CCD0,52432,56,864,used
872,쳤,U+CCE4,52452,64,864,used
873,초,U+CD08,52488,72,864,used
874,촉,U+CD09,52489,80,864,used
875,촛,U+CD1B,52507,88,864,used
876,총,U+CD1D,52509,96,864,used
877,최,U+CD5C,52572,104,864,used
878,추,U+CD94,52628,112,864,used
879,축,U+CD95,52629,120,864,used
880,춘,U+CD98,52632,0,880,used
881,출,U+CD9C,52636,8,880,used
882,춤,U+CDA4,52644,16,880,used
883,충,U+CDA9,52649,24,880,used
884,춰,U+CDB0,52656,32,880,used
885,췄,U+CDC4,52676,40,880,used
886,취,U+CDE8,52712,48,880,used
887,츠,U+CE20,52768,56,880,used
888,측,U+CE21,52769,64,880,used
889,층,U+CE35,52789,72,880,used
890,치,U+CE58,52824,80,880,used
891,칙,U+CE59,52825,88,880,used
892,친,U+CE5C,52828,96,880,used
893,칠,U+CE60,52832,104,880,used
894,침,U+CE68,52840,112,880,used
895,칫,U+CE6B,52843,120,880,used
896,칭,U+CE6D,52845,0,896,used
897,카,U+CE74,52852,8,896,used
898,칵,U+CE75,52853,16,896,used
899,칸,U+CE78,52856,24,896,used
900,칼,U+CE7C,52860,32,896,used
901,캄,U+CE84,52868,40,896,used
902,캉,U+CE89,52873,48,896,used
903,캐,U+CE90,52880,56,896,used
904,캔,U+CE94,52884,64,896,used
905,커,U+CEE4,52964,72,896,used
906,컨,U+CEE8,52968,80,896,used
907,컬,U+CEEC,52972,88,896,used
908,컴,U+CEF4,52980,96,896,used
909,컷,U+CEF7,52983,104,896,used
910,컸,U+CEF8,52984,112,896,used
911,케,U+CF00,52992,120,896,used
912,켁,U+CF01,52993,0,912,used
913,켓,U+CF13,53011,8,912,used
914,켜,U+CF1C,53020,16,912,used
915,켠,U+CF20,53024,24,912,used
916,켰,U+CF30,53040,32,912,used
917,코,U+CF54,53076,40,912,used
918,콘,U+CF58,53080,48,912,used
919,콜,U+CF5C,53084,56,912,used
920,콤,U+CF64,53092,64,912,used
921,콧,U+CF67,53095,72,912,used
922,쾌,U+CF8C,53132,80,912,used
923,쾨,U+CFA8,53160,88,912,used
924,퀴,U+D034,53300,96,912,used
925,퀸,U+D038,53304,104,912,used
926,크,U+D06C,53356,112,912,used
927,큰,U+D070,53360,120,912,used
928,클,U+D074,53364,0,928,used
929,큼,U+D07C,53372,8,928,used
930,키,U+D0A4,53412,16,928,used
931,킨,U+D0A8,53416,24,928,used
932,킬,U+D0AC,53420,32,928,used
933,킹,U+D0B9,53433,40,928,used
934,타,U+D0C0,53440,48,928,used
935,탁,U+D0C1,53441,56,928,used
936,탄,U+D0C4,53444,64,928,used
937,탈,U+D0C8,53448,72,928,used
938,탐,U+D0D0,53456,80,928,used
939,탑,U+D0D1,53457,88,928,used
940,탓,U+D0D3,53459,96,928,used
941,탔,U+D0D4,53460,104,928,used
942,탕,U+D0D5,53461,112,928,used
943,태,U+D0DC,53468,120,928,used
944,택,U+D0DD,53469,0,944,used
945,탠,U+D0E0,53472,8,944,used
946,탱,U+D0F1,53489,16,944,used
947,터,U+D130,53552,24,944,used
948,턱,U+D131,53553,32,944,used
949,턴,U+D134,53556,40,944,used
950,털,U+D138,53560,48,944,used
951,텅,U+D145,53573,56,944,used
952,테,U+D14C,53580,64,944,used
953,텐,U+D150,53584,72,944,used
954,텔,U+D154,53588,80,944,used
955,템,U+D15C,53596,88,944,used
956,텨,U+D168,53608,96,944,used
957,토,U+D1A0,53664,104,944,used
958,톤,U+D1A4,53668,112,944,used
959,톨,U+D1A8,53672,120,944,used
960,통,U+D1B5,53685,0,960,used
961,퇴,U+D1F4,53748,8,960,used
962,투,U+D22C,53804,16,960,used
963,퉁,U+D241,53825,24,960,used
964,튀,U+D280,53888,32,960,used
965,튕,U+D295,53909,40,960,used
966,튜,U+D29C,53916,48,960,used
967,트,U+D2B8,53944,56,960,used
968,특,U+D2B9,53945,64,960,used
969,튼,U+D2BC,53948,72,960,used
970,틀,U+D2C0,53952,80,960,used
971,틈,U+D2C8,53960,88,960,used
972,티,U+D2F0,54000,96,960,used
973,틱,U+D2F1,54001,104,960,used
974,틴,U+D2F4,54004,112,960,used
975,팁,U+D301,54017,120,960,used
976,팅,U+D305,54021,0,976,used
977,파,U+D30C,54028,8,976,used
978,팍,U+D30D,54029,16,976,used
979,판,U+D310,54032,24,976,used
980,팔,U+D314,54036,32,976,used
981,팠,U+D320,54048,40,976,used
982,패,U+D328,54056,48,976,used
983,팬,U+D32C,54060,56,976,used
984,팻,U+D33B,54075,64,976,used
985,퍼,U+D37C,54140,72,976,used
986,펀,U+D380,54144,80,976,used
987,펄,U+D384,54148,88,976,used
988,펍,U+D38D,54157,96,976,used
989,펑,U+D391,54161,104,976,used
990,페,U+D398,54168,112,976,used
991,펜,U+D39C,54172,120,976,used
992,펠,U+D3A0,54176,0,992,used
993,펴,U+D3B4,54196,8,992,used
994,편,U+D3B8,54200,16,992,used
995,펼,U+D3BC,54204,24,992,used
996,폈,U+D3C8,54216,32,992,used
997,평,U+D3C9,54217,40,992,used
998,폐,U+D3D0,54224,48,992,used
999,포,U+D3EC,54252,56,992,used
1000,폭,U+D3ED,54253,64,992,used
1001,폰,U+D3F0,54256,72,992,used
1002,폴,U+D3F4,54260,80,992,used
1003,폼,U+D3FC,54268,88,992,used
1004,표,U+D45C,54364,96,992,used
1005,푸,U+D478,54392,104,992,used
1006,푹,U+D479,54393,112,992,used
1007,푼,U+D47C,54396,120,992,used
1008,풀,U+D480,54400,0,1008,used
1009,품,U+D488,54408,8,1008,used
1010,풋,U+D48B,54411,16,1008,used
1011,풍,U+D48D,54413,24,1008,used
1012,프,U+D504,54532,32,1008,used
1013,픈,U+D508,54536,40,1008,used
1014,플,U+D50C,54540,48,1008,used
1015,픔,U+D514,54548,56,1008,used
1016,피,U+D53C,54588,64,1008,used
1017,핀,U+D540,54592,72,1008,used
1018,필,U+D544,54596,80,1008,used
1019,핏,U+D54F,54607,88,1008,used
1020,핑,U+D551,54609,96,1008,used
1021,하,U+D558,54616,104,1008,used
1022,학,U+D559,54617,112,1008,used
1023,한,U+D55C,54620,120,1008,used
1024,할,U+D560,54624,0,1024,used
1025,핥,U+D565,54629,8,1024,used
1026,함,U+D568,54632,16,1024,used
1027,합,U+D569,54633,24,1024,used
1028,핫,U+D56B,54635,32,1024,used
1029,항,U+D56D,54637,40,1024,used
1030,해,U+D574,54644,48,1024,used
1031,핸,U+D578,54648,56,1024,used
1032,핼,U+D57C,54652,64,1024,used
1033,햇,U+D587,54663,72,1024,used
1034,했,U+D588,54664,80,1024,used
1035,행,U+D589,54665,88,1024,used
1036,향,U+D5A5,54693,96,1024,used
1037,허,U+D5C8,54728,104,1024,used
1038,헌,U+D5CC,54732,112,1024,used
1039,헐,U+D5D0,54736,120,1024,used
1040,험,U+D5D8,54744,0,1040,used
1041,헛,U+D5DB,54747,8,1040,used
1042,헤,U+D5E4,54756,16,1040,used
1043,헨,U+D5E8,54760,24,1040,used
1044,헬,U+D5EC,54764,32,1040,used
1045,혀,U+D600,54784,40,1040,used
1046,현,U+D604,54788,48,1040,used
1047,혈,U+D608,54792,56,1040,used
1048,협,U+D611,54801,64,1040,used
1049,혔,U+D614,54804,72,1040,used
1050,형,U+D615,54805,80,1040,used
1051,혜,U+D61C,54812,88,1040,used
1052,호,U+D638,54840,96,1040,used
1053,혹,U+D639,54841,104,1040,used
1054,혼,U+D63C,54844,112,1040,used
1055,홀,U+D640,54848,120,1040,used
1056,홉,U+D649,54857,0,1056,used
1057,홍,U+D64D,54861,8,1056,used
1058,화,U+D654,54868,16,1056,used
1059,확,U+D655,54869,24,1056,used
1060,환,U+D658,54872,32,1056,used
1061,활,U+D65C,54876,40,1056,used
1062,황,U+D669,54889,48,1056,used
1063,회,U+D68C,54924,56,1056,used
1064,획,U+D68D,54925,64,1056,used
1065,횟,U+D69F,54943,72,1056,used
1066,효,U+D6A8,54952,80,1056,used
1067,후,U+D6C4,54980,88,1056,used
1068,훈,U+D6C8,54984,96,1056,used
1069,훌,U+D6CC,54988,104,1056,used
1070,훑,U+D6D1,54993,112,1056,used
1071,훔,U+D6D4,54996,120,1056,used
1072,훗,U+D6D7,54999,0,1072,used
1073,훨,U+D6E8,55016,8,1072,used
1074,휘,U+D718,55064,16,1072,used
1075,휩,U+D729,55081,24,1072,used
1076,휴,U+D734,55092,32,1072,used
1077,흉,U+D749,55113,40,1072,used
1078,흐,U+D750,55120,48,1072,used
1079,흑,U+D751,55121,56,1072,used
1080,흔,U+D754,55124,64,1072,used
1081,흘,U+D758,55128,72,1072,used
1082,흙,U+D759,55129,80,1072,used
1083,흠,U+D760,55136,88,1072,used
1084,흡,U+D761,55137,96,1072,used
1085,흥,U+D765,55141,104,1072,used
1086,흩,U+D769,55145,112,1072,used
1087,희,U+D76C,55148,120,1072,used
1088,흰,U+D770,55152,0,1088,used
1089,히,U+D788,55176,8,1088,used
1090,힌,U+D78C,55180,16,1088,used
1091,힐,U+D790,55184,24,1088,used
1092,힘,U+D798,55192,32,1088,used
1093,,,,40,1088,reserved
1094,,,,48,1088,reserved
1095,,,,56,1088,reserved
1096,,,,64,1088,reserved
1097,,,,72,1088,reserved
1098,,,,80,1088,reserved
1099,,,,88,1088,reserved
1100,,,,96,1088,reserved
1101,,,,104,1088,reserved
1102,,,,112,1088,reserved
1103,,,,120,1088,reserved
1104,,,,0,1104,reserved
1105,,,,8,1104,reserved
1106,,,,16,1104,reserved
1107,,,,24,1104,reserved
1108,,,,32,1104,reserved
1109,,,,40,1104,reserved
1110,,,,48,1104,reserved
1111,,,,56,1104,reserved
1112,,,,64,1104,reserved
1113,,,,72,1104,reserved
1114,,,,80,1104,reserved
1115,,,,88,1104,reserved
1116,,,,96,1104,reserved
1117,,,,104,1104,reserved
1118,,,,112,1104,reserved
1119,,,,120,1104,reserved
1120,,,,0,1120,reserved
1121,,,,8,1120,reserved
1122,,,,16,1120,reserved
1123,,,,24,1120,reserved
1124,,,,32,1120,reserved
1125,,,,40,1120,reserved
1126,,,,48,1120,reserved
1127,,,,56,1120,reserved
1128,,,,64,1120,reserved
1129,,,,72,1120,reserved
1130,,,,80,1120,reserved
1131,,,,88,1120,reserved
1132,,,,96,1120,reserved
1133,,,,104,1120,reserved
1134,,,,112,1120,reserved
1135,,,,120,1120,reserved
1136,,,,0,1136,reserved
1137,,,,8,1136,reserved
1138,,,,16,1136,reserved
1139,,,,24,1136,reserved
1140,,,,32,1136,reserved
1141,,,,40,1136,reserved
1142,,,,48,1136,reserved
1143,,,,56,1136,reserved
1144,,,,64,1136,reserved
1145,,,,72,1136,reserved
1146,,,,80,1136,reserved
1147,,,,88,1136,reserved
1148,,,,96,1136,reserved
1149,,,,104,1136,reserved
1150,,,,112,1136,reserved
1151,,,,120,1136,reserved
1152,,,,0,1152,reserved
1153,,,,8,1152,reserved
1154,,,,16,1152,reserved
1155,,,,24,1152,reserved
1156,,,,32,1152,reserved
1157,,,,40,1152,reserved
1158,,,,48,1152,reserved
1159,,,,56,1152,reserved
1160,,,,64,1152,reserved
1161,,,,72,1152,reserved
1162,,,,80,1152,reserved
1163,,,,88,1152,reserved
1164,,,,96,1152,reserved
1165,,,,104,1152,reserved
1166,,,,112,1152,reserved
1167,,,,120,1152,reserved
1168,,,,0,1168,reserved
1169,,,,8,1168,reserved
1170,,,,16,1168,reserved
1171,,,,24,1168,reserved
1172,,,,32,1168,reserved
1173,,,,40,1168,reserved
1174,,,,48,1168,reserved
1175,,,,56,1168,reserved
1176,,,,64,1168,reserved
1177,,,,72,1168,reserved
1178,,,,80,1168,reserved
1179,,,,88,1168,reserved
1180,,,,96,1168,reserved
1181,,,,104,1168,reserved
1182,,,,112,1168,reserved
1183,,,,120,1168,reserved
1184,,,,0,1184,reserved
1185,,,,8,1184,reserved
1186,,,,16,1184,reserved
1187,,,,24,1184,reserved
1188,,,,32,1184,reserved
1189,,,,40,1184,reserved
1190,,,,48,1184,reserved
1191,,,,56,1184,reserved
1192,,,,64,1184,reserved
1193,,,,72,1184,reserved
1194,,,,80,1184,reserved
1195,,,,88,1184,reserved
1196,,,,96,1184,reserved
1197,,,,104,1184,reserved
1198,,,,112,1184,reserved
1199,,,,120,1184,reserved
1200,,,,0,1200,reserved
1201,,,,8,1200,reserved
1202,,,,16,1200,reserved
1203,,,,24,1200,reserved
1204,,,,32,1200,reserved
1205,,,,40,1200,reserved
1206,,,,48,1200,reserved
1207,,,,56,1200,reserved
1208,,,,64,1200,reserved
1209,,,,72,1200,reserved
1210,,,,80,1200,reserved
1211,,,,88,1200,reserved
1212,,,,96,1200,reserved
1213,,,,104,1200,reserved
1214,,,,112,1200,reserved
1215,,,,120,1200,reserved
1216,,,,0,1216,reserved
1217,,,,8,1216,reserved
1218,,,,16,1216,reserved
1219,,,,24,1216,reserved
1220,,,,32,1216,reserved
1221,,,,40,1216,reserved
1222,,,,48,1216,reserved
1223,,,,56,1216,reserved
1224,,,,64,1216,reserved
1225,,,,72,1216,reserved
1226,,,,80,1216,reserved
1227,,,,88,1216,reserved
1228,,,,96,1216,reserved
1229,,,,104,1216,reserved
1230,,,,112,1216,reserved
1231,,,,120,1216,reserved
1232,,,,0,1232,reserved
1233,,,,8,1232,reserved
1234,,,,16,1232,reserved
1235,,,,24,1232,reserved
1236,,,,32,1232,reserved
1237,,,,40,1232,reserved
1238,,,,48,1232,reserved
1239,,,,56,1232,reserved
1240,,,,64,1232,reserved
1241,,,,72,1232,reserved
1242,,,,80,1232,reserved
1243,,,,88,1232,reserved
1244,,,,96,1232,reserved
1245,,,,104,1232,reserved
1246,,,,112,1232,reserved
1247,,,,120,1232,reserved
1248,,,,0,1248,reserved
1249,,,,8,1248,reserved
1250,,,,16,1248,reserved
1251,,,,24,1248,reserved
1252,,,,32,1248,reserved
1253,,,,40,1248,reserved
1254,,,,48,1248,reserved
1255,,,,56,1248,reserved
1256,,,,64,1248,reserved
1257,,,,72,1248,reserved
1258,,,,80,1248,reserved
1259,,,,88,1248,reserved
1260,,,,96,1248,reserved
1261,,,,104,1248,reserved
1262,,,,112,1248,reserved
1263,,,,120,1248,reserved
1264,,,,0,1264,reserved
1265,,,,8,1264,reserved
1266,,,,16,1264,reserved
1267,,,,24,1264,reserved
1268,,,,32,1264,reserved
1269,,,,40,1264,reserved
1270,,,,48,1264,reserved
1271,,,,56,1264,reserved
1272,,,,64,1264,reserved
1273,,,,72,1264,reserved
1274,,,,80,1264,reserved
1275,,,,88,1264,reserved
1276,,,,96,1264,reserved
1277,,,,104,1264,reserved
1278,,,,112,1264,reserved
1279,,,,120,1264,reserved
